table	pitr_status
rapid-cortex-rcs-calls-dev	ENABLED
rapid-cortex-rcs-escalation-dev	ENABLED
rapid-cortex-rcs-units-dev	ENABLED
rapid-cortex-safe-sound-devices-dev	ENABLED
rapid-cortex-sales-leads-dev	ENABLED
rapid-cortex-seo-intelligence-dev	ENABLED
rapid-cortex-service-catalog-dev	ENABLED
rapid-cortex-silent-text-sessions-dev	ENABLED
rapid-cortex-sla-backlog-snapshots-dev	ENABLED
rapid-cortex-sms-routing-dev	ENABLED
rapid-cortex-sop-library-dev	ENABLED
rapid-cortex-sop-patterns-dev	ENABLED
rapid-cortex-sop-pending-dev	ENABLED
rapid-cortex-sop-reports-dev	ENABLED
rapid-cortex-staffing-forecast-dev	ENABLED
rapid-cortex-stakeholder-pages-dev	ENABLED
rapid-cortex-support-tickets-dev	ENABLED
rapid-cortex-surge-clusters-dev	ENABLED
rapid-cortex-tenant-pricing-overrides-dev	ENABLED
rapid-cortex-transcripts-dev	ENABLED
rapid-cortex-transit-camera-registry-dev	ENABLED
rapid-cortex-transit-config-dev	ENABLED
rapid-cortex-transit-incidents-dev	ENABLED
rapid-cortex-transit-operators-dev	ENABLED
rapid-cortex-transit-reports-dev	ENABLED
rapid-cortex-transit-routes-dev	ENABLED
rapid-cortex-transit-stations-dev	ENABLED
rapid-cortex-transit-vehicles-dev	ENABLED
rapid-cortex-translate-segments-dev	ENABLED
rapid-cortex-translate-sessions-dev	ENABLED
rapid-cortex-trauma-flags-dev	ENABLED
rapid-cortex-usage-meters-dev	ENABLED
rapid-cortex-usage-snapshots-dev	ENABLED
rapid-cortex-venue-assets-dev	ENABLED
rapid-cortex-venue-camera-access-log-dev	ENABLED
rapid-cortex-venue-camera-registry-dev	ENABLED
rapid-cortex-venue-config-dev	ENABLED
rapid-cortex-venue-facilities-dev	ENABLED
rapid-cortex-venue-incident-overlays-dev	ENABLED
rapid-cortex-venue-notification-log-dev	ENABLED
rapid-cortex-vertical-alerts-dev	ENABLED
rapid-cortex-video-assist-sessions-dev	ENABLED
rapid-cortex-video-clips-dev	ENABLED
rapid-cortex-video-wall-configs-dev	ENABLED
rapid-cortex-vision-cameras-dev	ENABLED
rapid-cortex-vision-events-dev	ENABLED
rapid-cortex-vision-observations-dev	ENABLED
rapid-cortex-vision-owner-consent-dev	ENABLED
rapid-cortex-vision-sessions-dev	ENABLED
rapid-cortex-vision-transcripts-dev	ENABLED
rapid-cortex-war-room-messages-dev	ENABLED
rapid-cortex-war-rooms-dev	ENABLED
rapid-cortex-webhooks-dev	ENABLED
rapid-cortex-websocket-connections-dev	ENABLED
