Phrase,SoundsLike,IPA,DisplayAs
CAD,,,
BOLO,,,
EMS,,,
APB,,,
PSAP,,,
NCIC,,,
ALPR,,,
MDT,,,
CSA,,,
Clery,,,
non-emergency,non emergency,,
welfare check,,,
abandoned vehicle,,,
noise complaint,,,
code enforcement,,,
public works,,,
