Phrase,SoundsLike,IPA,DisplayAs
Troost,,,
Wornall,,,
Paseo,,,
Westport,,,
Waldo,,,
Brookside,,,
Country Club Plaza,plaza,,
KCPD,,,
PremierOne,premier one,,
